CASE_ID,CLUSTER
2025181035,2
2025181115,3
2025181305,3
2025181381,3
2025181468,3
2025181457,3
2025181552,0
2025181568,3
2025181586,3
2025181623,3
2025182184,3
2025182221,3
2025182372,3
2025182450,3
2025182526,3
2025182741,3
2025182762,3
2025182861,3
2025182991,3
2025183115,3
2025183215,3
2025183261,3
2025183398,3
2025183493,0
2025183540,0
2025183624,3
2025184229,3
2025184337,3
2025184579,3
2025184946,3
2025185007,3
2025185166,3
2025185270,3
2025185322,3
2025185346,3
2025185399,3
2025185458,3
2025185519,3
2025185601,3
2025185631,0
2025185649,3
2025185664,3
2025185930,3
2025186010,3
2025186135,3
2025186212,3
2025186321,3
2025186344,2
2025186419,2
2025186459,2
2025186582,2
2025186599,2
2025186755,2
2025186861,2
2025186985,2
2025187031,2
2025187300,2
2025187327,2
2025187565,2
2025187693,2
2025187759,2
2025187853,2
2025187870,2
2025187899,2
2025188159,2
2025188301,2
2025188349,2
2025188520,0
2025188564,2
2025188615,2
2025188746,2
2025188789,2
2025188919,2
2025188999,2
2025189062,2
2025189115,2
2025189219,2
2025189237,2
2025189269,2
2025189319,2
2025189330,2
2025189456,0
2025189583,2
2025189702,2
2025189774,2
2025189816,2
2025189968,2
2025189990,2
2025190150,2
2025190269,2
2025190408,2
2025190458,2
2025190617,2
2025190707,2
2025190781,2
2025190865,2
2025190933,3
2025191055,3
2025191090,0
2025191214,0
2025191434,3
2025191775,3
2025191800,3
2025191813,3
2025191861,3
2025191883,3
2025191966,3
2025191972,3
2025192027,0
2025192067,3
2025192118,3
2025192265,3
2025192335,3
2025192356,3
2025192447,0
2025192569,3
2025192720,0
2025193021,3
2025193095,3
2025193215,3
2025193387,3
2025193482,3
2025193715,3
2025193717,3
2025193749,3
2025193826,0
2025193945,3
2025193990,3
2025194161,3
2025194269,3
2025194283,3
2025194391,3
2025194485,3
2025194681,3
2025194845,3
2025194876,3
2025194907,3
2025194962,3
2025194966,0
2025194992,3
2025195082,0
2025195095,3
2025195243,3
2025195302,3
2025195416,3
2025195441,3
2025195487,3
2025195552,3
2025196185,0
2025196299,2
2025196329,2
2025196399,2
2025196434,2
2025196468,2
2025196535,2
2025196806,2
2025196880,2
2025197042,2
2025197159,2
2025197237,2
2025197240,0
2025197251,2
2025197268,2
2025197272,2
2025197421,2
2025197456,2
2025197592,2
2025197602,2
2025197653,0
2025197973,2
2025198080,2
2025198217,2
2025198231,2
2025198243,2
2025198332,2
2025198366,2
2025198434,0
2025198624,2
2025198680,2
2025198794,2
2025198868,2
2025198874,2
2025198920,0
2025199030,2
2025199048,2
2025199198,2
2025199221,2
2025199378,2
2025199402,2
2025199494,2
2025199569,0
2025199606,2
2025199715,2
2025199984,2
2025200107,2
2025200147,2
2025200314,3
2025200378,3
2025200409,3
2025200535,3
2025200655,3
2025200657,3
2025200716,3
2025200731,0
2025200791,3
2025201101,3
2025201288,3
2025201417,3
2025201454,3
2025201620,3
2025201677,3
2025201674,3
2025201676,3
2025201725,3
2025201995,3
2025202111,3
2025202100,3
2025202143,0
2025202727,3
2025202876,0
2025202958,3
2025203041,3
2025203110,0
2025203316,3
2025203379,3
2025203608,3
2025203731,3
2025203887,3
2025203956,3
2025203976,0
2025204117,3
2025204437,1
2025204529,1
2025204616,1
2025204700,1
2025204790,1
2025204813,0
2025204819,1
2025204853,1
2025204897,0
2025205001,1
2025205123,0
2025205512,1
2025205534,1
2025205571,1
2025205575,1
2025205840,1
2025205914,1
2025205982,1
2025206060,1
2025206069,1
2025206080,1
2025206095,1
2025206190,1
